ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
225	378	03_06 Read Holding and Write Single	2	MODBUS_CAL21_LO	16 Bit Unsigned Integer	calibrate value low byte input21
226	379	03_06 Read Holding and Write Single	1	MODBUS_AI0_STATUS	8 Bit Unsigned Integer	
227	380	03_06 Read Holding and Write Single	1	MODBUS_AI1_STATUS	8 Bit Unsigned Integer	
228	381	03_06 Read Holding and Write Single	1	MODBUS_AI2_STATUS	8 Bit Unsigned Integer	
229	382	03_06 Read Holding and Write Single	1	MODBUS_AI3_STATUS	8 Bit Unsigned Integer	
230	383	03_06 Read Holding and Write Single	1	MODBUS_AI4_STATUS	8 Bit Unsigned Integer	
231	384	03_06 Read Holding and Write Single	1	MODBUS_AI5_STATUS	8 Bit Unsigned Integer	
232	385	03_06 Read Holding and Write Single	1	MODBUS_AI6_STATUS	8 Bit Unsigned Integer	
233	386	03_06 Read Holding and Write Single	1	MODBUS_AI7_STATUS	8 Bit Unsigned Integer	
234	387	03_06 Read Holding and Write Single	1	MODBUS_AI8_STATUS	8 Bit Unsigned Integer	
235	388	03_06 Read Holding and Write Single	1	MODBUS_AI9_STATUS	8 Bit Unsigned Integer	
236	389	03_06 Read Holding and Write Single	1	MODBUS_AI10_STATUS	8 Bit Unsigned Integer	
237	390	03_06 Read Holding and Write Single	1	MODBUS_AI11_STATUS	8 Bit Unsigned Integer	
238	391	03_06 Read Holding and Write Single	1	MODBUS_AI12_STATUS	8 Bit Unsigned Integer	
239	392	03_06 Read Holding and Write Single	1	MODBUS_AI13_STATUS	8 Bit Unsigned Integer	
240	393	03_06 Read Holding and Write Single	1	MODBUS_AI14_STATUS	8 Bit Unsigned Integer	
241	394	03_06 Read Holding and Write Single	1	MODBUS_AI15_STATUS	8 Bit Unsigned Integer	
242	395	03_06 Read Holding and Write Single	1	MODBUS_AI16_STATUS	8 Bit Unsigned Integer	
243	396	03_06 Read Holding and Write Single	1	MODBUS_AI17_STATUS	8 Bit Unsigned Integer	
244	397	03_06 Read Holding and Write Single	1	MODBUS_AI18_STATUS	8 Bit Unsigned Integer	
245	398	03_06 Read Holding and Write Single	1	MODBUS_AI19_STATUS	8 Bit Unsigned Integer	
246	399	03_06 Read Holding and Write Single	1	MODBUS_AI20_STATUS	8 Bit Unsigned Integer	
247	400	03_06 Read Holding and Write Single	1	MODBUS_AI21_STATUS	8 Bit Unsigned Integer	
248	401	03_06 Read Holding and Write Single	1	MODBUS_AI22_STATUS	8 Bit Unsigned Integer	
249	800	03_06 Read Holding and Write Single	1	MODBUS_RESET	16 Bit Unsigned Integer	1-> reset to factory, other -> reset
